,title,review,date,yes,no
613,It is fun and was easy to buy.,Love the Google Home and it was super easy to make the purchase.,12/28/2016,(0),(0)
614,mariankevin,We love the Google home. It has an awesome sound system!,12/31/2016,(0),(0)
615,google home,it works great you just need to learn how to talk to it properly. with new memory updates it will fantastic,12/6/2016,(0),(1)
616,Fun and Productive product,"Google Home keeps you organized, informed, educated and you can have fun also.",12/20/2016,(0),(0)
617,Good,Good,1/18/2017,(0),(1)
618,LOVE THIS PRODUCT THE BEST,AWESOME AWESOME . It does everything and can answer all things.,12/26/2016,(0),(0)
619,Google Home,I'm having trouble downloading the app. Every time I try it takes me to purchase the item ...,12/12/2016,(0),(0)
620,Google home,Daughters say they work great and very pleased,1/2/2017,(0),(0)
621,Love it!,Kids are having so much fun with it!,1/6/2017,(0),(0)
622,Great,"I bought this as a present, so I don't know how the product works, but seems like an awesome gift",12/8/2016,(0),(1)
623,Google home,This is a great product,1/10/2017,(0),(1)
624,Great gift!,Gave it to my boyfriend for christmas and he loves it!,12/28/2016,(0),(0)
625,Great product!  Very fun to have in the house!,Great product!  Very fun to have in the house!,12/31/2016,(0),(0)
626,Google home doing all it was advertized to do,Also given as a gift and was received well.,1/1/2017,(0),(0)
627,Great fun,It set up fast and easy. Has been a continual source of both information and entertainment.,12/9/2016,(0),(0)
628,Great Product !,Great tool for learning and daily knowledge!,12/31/2016,(0),(0)
629,Absolutely love it!!!,Due to my enthusiasm I have multiple friends and co-workers buying this for their homes!!!,12/9/2016,(0),(0)
630,Great / fun buy,The hole family has been enjoying the Google home.,12/28/2016,(0),(1)
631,Google home,Very nice product,1/10/2017,(0),(1)
632,Great buying experience,Great product and very useful.,1/5/2017,(0),(0)
633,Fun new toy,Enjoying learning all that it can do.  OK google!,12/28/2016,(0),(0)
634,Great item,"Great item , very fun!",1/8/2017,(0),(0)
635,Giving as a gift-hope it will be loved,Can't say anything yet -giving As a gift-but price was reasonable,12/20/2016,(0),(0)
636,not ready yet,Item seems to have promise but needs an update with new features.  Many missing features.,12/8/2016,(0),(6)
637,Love it.,Useful and looking forward to more things Google Home will be able to do in the future.,12/9/2016,(0),(0)
638,Great Product,Google Home is working out perfectly for us.  We bought three of them and they're great.,12/7/2016,(0),(0)
639,Excellent,Fits beautifully with my Amazon Echo to make my home into the Starship Enterprise.,12/10/2016,(0),(0)
640,Google home,Worth the money enjoy the functions,1/1/2017,(0),(0)
641,I really like it for daily information.,"We enjoy the music, weather reports for wherever we want, answer to questions, & jokes.",12/8/2016,(0),(0)
642,Google Home,Better than Alexa (echo),1/5/2017,(0),(0)
643,Computer friend,It's still learning but very fun.,1/1/2017,(0),(0)
644,Great product can't wait for more things it can do,Nice product very helpful,1/4/2017,(0),(0)
645,Awesome...,Awesome...love it,1/6/2017,(0),(1)
646,Awesome!,Both sons love this product!,1/2/2017,(0),(0)
647,So far so good,just got but was easy to get started and already added entertainment to the family.,12/8/2016,(0),(2)
648,Google,"Fun, easy to use.",1/6/2017,(0),(0)
649,Siri in a bottle,Similar tasks as Siri. Good sound. Music and other useful and fun info. at voice command.,12/4/2016,(0),(0)
650,goggle home,Makes life easier!,1/5/2017,(0),(0)
651,Awesome,"Worked really well!
And even more if you have IoT and IFTTT or apps like that.",12/9/2016,(0),(0)
652,Best Christmas gift,Works great. I love it. The kids love it.  Best Christmas gift ever.,12/14/2016,(0),(0)
653,Excellent  Device,Works as described. AAAA,1/3/2017,(0),(0)
654,Great help specially whe you have your hands busy,Works great,1/7/2017,(0),(0)
655,great,Its nice play songs tells weather and traffic. ...call HEY GOOGLE!!,12/14/2016,(0),(0)
656,Love this purchase,Worked great and very interesting,12/29/2016,(0),(0)
657,Google Home,It does what it says it will do. Thank you Google Home.,12/19/2016,(0),(0)
658,google home,We love iit!,1/6/2017,(0),(0)
659,awesome,Husband loves it!!,1/3/2017,(0),(0)
660,Two thumbs up,Gave as a gift and he loves it!,12/29/2016,(0),(0)
661,Great Gift,We gave these to our employees as a holiday gift and was a big hit!,12/12/2016,(0),(0)
662,"works as advertised,very good sound from speakers",Works as advertised speaker sounds very good . Voice command works well.,12/9/2016,(0),(0)
663,works well for basic commands,loved this purchase. would recommend to a friend.,12/19/2016,(0),(0)
664,Google,"Love it ,it is the best",12/30/2016,(0),(0)
665,Great Product - Google Home,"Google Home works great, and is easy to set up. Recommend!",12/14/2016,(0),(0)
666,We are truly enjoying it,I truly enjoying it,12/31/2016,(0),(0)
667,Googlehome,Excellent purchase.,12/31/2016,(0),(0)
668,Awesome,Fun and informative! Linked with my Spotify and have all my play lists!,12/7/2016,(0),(0)
669,Great product,It is able to answer almost anything you can search in google,12/12/2016,(0),(0)
670,Awesome,Works well and now becoming part of daily life :),12/18/2016,(0),(0)
671,A wonderful accessory for my smart phone,I really like this item.  Especially the price!,12/18/2016,(0),(0)
672,Cool product,Works like a charm,12/30/2016,(0),(0)
673,Easy fast pickup,Google Home,1/1/2017,(0),(0)
674,Google Home,Set up was quick and easy.  My granddaughter loves it!,12/13/2016,(0),(0)
675,Good,Great,1/3/2017,(0),(0)
676,we love it,love to use at night to fine tunes for sleep,12/17/2016,(0),(0)
677,Great,Great love this,12/29/2016,(0),(0)
678,Google Home,Great product meet all expectations.,12/20/2016,(0),(0)
679,Great Product,Works great,12/30/2016,(0),(0)
680,Very Good,perfect for our home,12/27/2016,(0),(0)
681,Yahoo,"I love my Google Home 
Does better than Amazons one they have",12/7/2016,(0),(0)
682,Google Home,nice product,12/29/2016,(0),(0)
683,"ask a question, any question.",Google knows all.,12/27/2016,(0),(0)
684,hey google,Quick to hook up simple.,12/24/2016,(0),(0)
685,wonderful,love it!,12/30/2016,(0),(0)
686,google home,google home great for the kid to ask questions,12/13/2016,(0),(0)
687,Buy it,It's Google - What else do you need to know.,12/14/2016,(0),(0)
688,"Awesome gadget, fast shipping",Hassle free sale with very fast shipping.,12/16/2016,(0),(0)
689,"Nice, better than I expected","Great fun,  every day learning more",12/18/2016,(0),(0)
690,Yay,Love my google home,12/25/2016,(0),(0)
691,Great product,Will get better in time as Google updates software,12/10/2016,(0),(0)
692,Educational,Great for children to ask questions and learn.,12/11/2016,(0),(0)
693,great product,it work excellent,12/22/2016,(0),(0)
694,Google Home,Love it and the sound is great! Got it on sale too,12/7/2016,(0),(0)
695,Home,Lots of fun. Will add accessories soon.,12/11/2016,(0),(0)
696,Christmas gift,It's a gift for my sister,12/17/2016,(0),(0)
697,Great gift,A nice gift for anyone on your list,12/12/2016,(0),(0)
698,Dan,My son loves it,12/20/2016,(0),(0)
699,Great sound system,Great sound  system over youtube music.,12/9/2016,(0),(0)
